"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price NOK"
"1","4","1738-DFR1075-ND","DFR1075","FIREBEETLE 2 ESP32-C6 IOT 4MB","","4","0","57,22000","228,88"
"2","1","1597-1537-ND","404080001","WIRE STRIPPERS","","1","0","47,52000","47,52"
"3","1","1528-1743-ND","1311","HOOK-UP 22AWG SOLID - 6 X 25FT","","1","0","154,68000","154,68"
"4","2","1738-1326-ND","FIT0096","BREADBRD TERM STRIP 3.20X2.00""","","2","0","28,12000","56,24"
"5","1","1528-1967-ND","1957","JUMPER WIRE M TO M 6"" 28AWG","","1","0","18,91000","18,91"
"6","1","1528-1961-ND","1950","JUMPER WIRE F TO F 6"" 28AWG","","1","0","18,91000","18,91"
"7","1","1528-1964-ND","1954","JUMPER WIRE M TO F 6"" 28AWG","","1","0","18,91000","18,91"
"8","1","1738-FIT0242-ND","FIT0242","KIT LED RND 5MM T-1 3/4 TH 50PCS","","1","0","32,97000","32,97"
"9","1","1568-10969-ND","10969","RESISTOR KIT - 1/4W (500 TOTAL)","","1","0","102,22000","102,22"
"10","10","2223-SLW-129956-4A-RA-N-D-ND","SLW-129956-4A-RA-N-D","12.9 X 9 X 5.6 MM, 4 MM RAISED S","","10","0","3,02600","30,26"
"11","1","1568-13698-ND","13698","SPARKFUN CAPACITOR KIT","","1","0","111,53000","111,53"
"12","10","2223-TS02-66-43-BK-160-LCR-D-ND","TS02-66-43-BK-160-LCR-D","SWITCH TACTILE SPST-NO 0.05A 12V","","10","0","0,85300","8,53"
"13","5","1528-261-ND","261","CABLE ASSY JST PH 2PIN 4""","","5","0","7,27000","36,35"
"14","5","1528-2617-ND","3814","JST PH 2 PIN CABLE MALE HEADER 2","","5","0","7,27000","36,35"
