id,title,authors,notes,last_open,highlights,pages,series,language,md5,total_read_time,total_read_pages
1,Data Structures,en.wikibooks.org,0,1710452320,0,353,N/A,en-US,04c6355c9caec0c499e7fd3498d5cced,7053,96
2,3Blue1Brown Calculus,"Grant Sanderson & Kurt Bruns",0,1708897008,0,405,N/A,en-US,58d9ce61e2be6a4afdb66885d0e8be4b,42684,405
3,Learn You a Haskell for Great Good!,Miran Lipovača,0,1733392004,0,676,N/A,en-US,12cae255ae921fe559d3ae20486f45ad,20698,213
4,Crafting Interpreters,Robert Nystrom,0,1710367474,0,1507,N/A,en-US,f99764794058c0b86d8bac5e4b0cf929,8755,103
5,Learn You Some Erlang for Great Good!,Frederic Trottier-Hebert,0,1717278438,0,1564,N/A,en-US,8da76584c022d290f929d4bf089fa45b,2501,43
6,The Hitchhiker's Guide to the Galaxy,Douglas Adams,126,1734472571,28,411,N/A,en-US,f3ada9089841b55a5749663ba5119179,23333,272
7,Harry Potter à l'Ecole des Sorciers,J. K. Rowling,0,1739028361,6,443,Harry Potter [FR] #1,fr,01ca3f028b4d1f6120d78c23dabccd5e,10262,38
8,Leviathan Wakes,James S. A. Corey,0,1736028911,0,771,The Expanse #1,en-US,de8144ccb4af7e8afb43be81ea44363f,2402,23
9,Because Internet: Understanding the New Rules of Language,Gretchen McCulloch,0,1737582762,0,518,N/A,en-US,0e9eceee40fb36a486d1e8bc83f2e16f,9911,92
