"år";"statistikkvariabel";"Ialt I alt";"31 Østfold";"32 Akershus";"30 Viken (2020-2023)";"01 Østfold (-2019)";"02 Akershus (-2019)";"03 Oslo";"34 Innlandet";"04 Hedmark (-2019)";"05 Oppland (-2019)";"33 Buskerud";"06 Buskerud (-2019)";"39 Vestfold";"40 Telemark";"38 Vestfold og Telemark (2020-2023)";"07 Vestfold (-2019)";"08 Telemark (-2019)";"42 Agder";"09 Aust-Agder (-2019)";"10 Vest-Agder (-2019)";"11 Rogaland";"46 Vestland";"12 Hordaland (-2019)";"14 Sogn og Fjordane (-2019)";"15 Møre og Romsdal";"16-17 Sør- og Nord-Trøndelag (-2017)";"50 Trøndelag - Trööndelage";"18 Nordland - Nordlánnda";"55 Troms - Romsa - Tromssa";"56 Finnmark - Finnmárku - Finmarkku";"54 Troms og Finnmark - Romsa ja Finnmárku (2020-2023)";"19 Troms - Romsa (-2019)";"20 Finnmark - Finnmárku (-2019)"
"1994";"Nettoforbruk i alt i husholdninger per innbyggjar";7824;.;.;.;7309;7794;8316;.;7250;7268;.;7766;.;.;.;7820;8106;.;7793;7541;8157;.;7580;7202;7134;7470;.;8634;.;.;.;8758;9608
"1995";"Nettoforbruk i alt i husholdninger per innbyggjar";7819;.;.;.;7261;7944;8422;.;7313;7243;.;7646;.;.;.;7754;8038;.;7465;7843;7807;.;7516;7214;7528;7331;.;8781;.;.;.;8579;9687
"1996";"Nettoforbruk i alt i husholdninger per innbyggjar";7926;.;.;.;7436;8140;7550;.;7570;7345;.;7735;.;.;.;8411;8410;.;7882;8508;8178;.;7402;7235;7490;7971;.;8385;.;.;.;9355;9657
"1997";"Nettoforbruk i alt i husholdninger per innbyggjar";7557;.;.;.;6888;7509;8097;.;6929;7026;.;7302;.;.;.;7503;7784;.;7067;7070;7541;.;7385;6641;7504;7150;.;8629;.;.;.;9078;9492
"1998";"Nettoforbruk i alt i husholdninger per innbyggjar";7596;.;.;.;6976;8256;7053;.;7083;7412;.;6915;.;.;.;7917;8071;.;7453;7451;7844;.;7151;6996;7950;6885;.;8614;.;.;.;9186;9927
"1999";"Nettoforbruk i alt i husholdninger per innbyggjar";7588;.;.;.;7095;7667;8133;.;7012;7353;.;7158;.;.;.;7884;8020;.;7401;7185;7031;.;7392;6745;7277;6969;.;8729;.;.;.;9239;10070
"2000";"Nettoforbruk i alt i husholdninger per innbyggjar";7498;.;.;.;6872;7466;6872;.;6896;7107;.;7135;.;.;.;7576;7975;.;7098;6919;7381;.;7650;6936;7465;7057;.;10054;.;.;.;9094;9645
"2001";"Nettoforbruk i alt i husholdninger per innbyggjar";7711;.;.;.;7135;8440;6877;.;7372;7577;.;6999;.;.;.;8045;8201;.;7629;7426;7509;.;7561;7041;7697;7050;.;9643;.;.;.;9246;9922
"2002";"Nettoforbruk i alt i husholdninger per innbyggjar";7393;.;.;.;6852;7601;6756;.;7791;7312;.;7859;.;.;.;7637;7825;.;7082;6981;7194;.;7260;6460;7142;6804;.;8550;.;.;.;8986;9788
"2003";"Nettoforbruk i alt i husholdninger per innbyggjar";6768;.;.;.;6413;7156;6259;.;6108;6764;.;6748;.;.;.;7033;7221;.;6465;6203;6655;.;6730;5937;6384;6262;.;8082;.;.;.;8451;8962
"2004";"Nettoforbruk i alt i husholdninger per innbyggjar";6819;.;.;.;6396;6497;6270;.;6237;6825;.;6715;.;.;.;7144;7417;.;6602;6708;6908;.;6797;6577;6584;6434;.;8185;.;.;.;8596;9177
"2005";"Nettoforbruk i alt i husholdninger per innbyggjar";7108;.;.;.;6579;7184;6977;.;6369;6824;.;6889;.;.;.;7374;7495;.;6762;6512;7008;.;7217;6555;6874;6544;.;8462;.;.;.;8865;9378
"2006";"Nettoforbruk i alt i husholdninger per innbyggjar";6960;.;.;.;6564;7159;7090;.;6357;6668;.;6911;.;.;.;7209;7331;.;6721;6573;6701;.;6589;6299;6545;6341;.;8308;.;.;.;8715;9570
"2007";"Nettoforbruk i alt i husholdninger per innbyggjar";7158;.;.;.;6603;7285;7207;.;6452;6889;.;7096;.;.;.;7169;7515;.;6767;7036;6995;.;7132;6640;7009;6555;.;8382;.;.;.;8569;9380
"2008";"Nettoforbruk i alt i husholdninger per innbyggjar";7080;.;.;.;6542;7350;6861;.;6453;6885;.;7182;.;.;.;7157;7405;.;6832;6667;6794;.;7229;6662;6887;6290;.;8331;.;.;.;8676;9921
"2009";"Nettoforbruk i alt i husholdninger per innbyggjar";7221;.;.;.;7000;7571;6675;.;6870;7217;.;7427;.;.;.;7441;7679;.;7061;6822;6966;.;7184;6839;6917;6344;.;8487;.;.;.;8927;10057
"2010";"Nettoforbruk i alt i husholdninger per innbyggjar";7781;.;.;.;7571;8127;7297;.;7561;7818;.;8044;.;.;.;8070;8303;.;7749;7457;7556;.;7692;7404;7505;6879;.;8874;.;.;.;9192;10218
"2011";"Nettoforbruk i alt i husholdninger per innbyggjar";6956;.;.;.;6686;7193;6513;.;6728;6964;.;7163;.;.;.;6958;7387;.;6847;6637;6831;.;7010;6700;6797;6115;.;8072;.;.;.;8230;9259
"2012";"Nettoforbruk i alt i husholdninger per innbyggjar";7282;.;.;.;6867;7443;6701;.;6957;7369;.;7373;.;.;.;7249;7646;.;7049;6794;7164;.;7438;7032;7253;6526;.;8618;.;.;.;8904;10270
"2013";"Nettoforbruk i alt i husholdninger per innbyggjar";7276;.;.;.;6944;7456;6304;.;7261;7647;.;7460;.;.;.;7511;7981;.;7293;6901;7151;.;7344;7198;7256;6603;.;8534;.;.;.;8733;9511
"2014";"Nettoforbruk i alt i husholdninger per innbyggjar";6787;.;.;.;6503;6949;5922;.;6951;7242;.;6899;.;.;.;7036;7357;.;6811;6387;6497;.;6762;6576;6776;6271;.;8357;.;.;.;8802;9714
"2015";"Nettoforbruk i alt i husholdninger per innbyggjar";7078;.;.;.;6677;7271;6208;.;7251;7483;.;7107;.;.;.;7178;7568;.;6984;6620;6765;.;7165;6920;7052;6441;.;8527;.;.;.;8771;9904
"2016";"Nettoforbruk i alt i husholdninger per innbyggjar";7242;.;.;.;6935;7373;6034;.;7587;7875;.;7379;.;.;.;7607;7933;.;7305;6767;6863;.;7253;7118;7216;6737;.;8815;.;.;.;8892;10157
"2017";"Nettoforbruk i alt i husholdninger per innbyggjar";7280;.;.;.;6940;7412;6166;.;7791;8014;.;7407;.;.;.;7403;7899;.;7398;6945;6924;.;7193;7075;7189;6729;.;8770;.;.;.;9055;10634
"2018";"Nettoforbruk i alt i husholdninger per innbyggjar";7272;.;.;.;6994;7363;5919;.;7781;7960;.;7389;.;.;.;7648;7863;.;7450;6875;6917;.;7204;7115;7284;.;6787;9068;.;.;.;9110;10297
"2019";"Nettoforbruk i alt i husholdninger per innbyggjar";7192;.;.;.;6813;7278;6034;.;7752;7924;.;7336;.;.;.;7406;7722;.;7203;6719;6656;.;7100;7003;7254;.;6773;8935;.;.;.;9041;10728
"2020";"Nettoforbruk i alt i husholdninger per innbyggjar";7122;.;.;7002;.;.;5823;7646;.;.;.;.;.;.;7366;.;.;6789;.;.;6789;7175;.;.;7481;.;6889;8900;.;.;9451;.;.
"2021";"Nettoforbruk i alt i husholdninger per innbyggjar";7388;.;.;7400;.;.;5974;8088;.;.;.;.;.;.;7724;.;.;6842;.;.;6874;7302;.;.;7629;.;7200;9335;.;.;9860;.;.
"2022";"Nettoforbruk i alt i husholdninger per innbyggjar";6526;.;.;6360;.;.;5242;6896;.;.;.;.;.;.;6503;.;.;5553;.;.;5894;6463;.;.;7241;.;6841;9008;.;.;9405;.;.
"2023";"Nettoforbruk i alt i husholdninger per innbyggjar";6939;.;.;6841;.;.;5663;7686;.;.;.;.;.;.;7044;.;.;6119;.;.;6110;6815;.;.;7543;.;7226;9111;.;.;9547;.;.
