Temperature;Humidity
24.30;27.10
24.20;27.10
24.20;27.20
24.20;27.40
24.30;27.30
24.10;27.30
24.10;27.20
24.20;27.10
24.20;26.90
24.10;26.70
24.10;26.60
24.10;26.60
24.10;26.40
24.10;26.10
24.00;26.20
24.00;26.10
24.00;26.10
24.00;26.10
24.00;26.10
24.00;25.90
24.00;26.10
23.90;26.20
24.00;25.90
24.00;25.90
23.90;26.00
23.90;25.90
23.90;26.00
23.90;26.00
23.90;26.00
23.90;26.00
23.80;26.00
23.90;26.20
23.90;26.30
23.90;26.10
23.80;26.00
23.80;26.10
23.90;26.20
23.90;26.40
23.80;26.50
23.90;26.40
23.80;26.50
23.80;26.50
23.80;26.50
23.80;26.60
23.80;26.50
23.80;26.60
23.70;26.50
23.80;26.60
23.70;26.70
23.70;26.70
23.80;26.60
23.70;26.60
23.80;26.50
23.70;26.40
23.70;26.30
23.80;26.40
23.80;26.40
23.70;26.30
23.70;26.30
23.80;26.40
23.70;26.00
23.70;26.30
23.70;26.20
23.70;26.10
23.70;26.30
23.70;26.20
23.70;26.20
23.70;26.30
23.70;26.30
23.70;26.10
23.70;26.20
23.60;26.10
23.70;26.20
23.70;26.10
23.60;26.10
23.70;26.20
23.70;26.20
23.60;26.10
23.60;26.10
23.60;26.20
23.60;26.00
23.60;26.10
23.60;26.20
23.60;26.00
23.70;26.00
23.70;26.30
23.60;26.10
23.70;26.10
23.70;26.20
23.60;26.10
23.60;26.20
23.60;26.20
23.60;26.10
23.60;26.20
23.60;26.30
23.60;26.40
23.50;26.50
23.60;26.40
23.50;26.50
23.50;26.40
23.50;26.30
23.60;26.40
23.60;26.40
23.50;26.40
23.60;26.20
23.50;26.20
23.50;26.10
23.50;26.10
23.60;25.90
23.50;26.00
23.50;26.00
23.50;26.00
23.50;26.00
23.50;25.90
23.50;26.00
23.50;26.00
23.50;25.90
23.40;25.90
23.50;26.00
23.40;26.10
23.50;25.90
23.50;26.20
23.50;26.10
23.40;26.20
23.40;25.90
23.40;26.10
23.40;26.00
23.40;26.10
23.40;26.20
23.40;26.10
23.40;26.20
23.40;26.10
23.40;26.10
23.40;26.20
23.40;26.30
23.30;26.30
23.40;26.20
23.30;26.10
23.30;26.10
23.40;26.10
23.30;26.00
23.40;26.10
23.30;26.20
23.30;26.20
23.30;26.10
23.40;26.20
23.30;26.10
23.30;26.20
23.40;26.00
23.30;26.10
23.30;26.10
23.30;26.10
23.20;26.20
23.20;26.10
23.30;26.10
23.30;26.10
23.20;26.10
23.10;26.30
23.30;26.20
23.20;26.20
23.30;26.10
23.20;26.20
23.40;26.30
23.20;26.10
23.30;26.00
23.20;26.20
23.10;26.10
23.30;26.00
23.20;26.00
23.20;26.00
23.30;26.10
23.20;26.10
23.20;26.10
23.20;25.70
23.20;25.90
23.20;26.00
23.10;25.90
23.20;25.80
23.20;25.80
23.20;25.90
23.10;25.90
23.20;25.90
23.20;25.90
23.20;25.80
23.20;25.80
23.20;25.80
23.20;25.80
23.10;25.90
23.10;25.90
23.10;25.90
23.10;25.80
23.10;25.80
23.10;26.00
23.20;25.90
23.10;26.00
23.10;26.00
23.10;25.80
23.10;25.70
23.10;25.90
23.00;26.10
23.00;25.90
23.10;26.00
23.10;25.80
23.10;26.10
23.10;26.00
23.00;25.90
23.00;26.00
23.10;26.00
23.00;26.00
23.00;25.90
23.10;26.00
23.00;26.10
23.10;26.00
23.00;26.00
23.00;25.90
23.00;25.80
23.00;25.90
23.00;26.00
23.00;25.90
23.00;26.00
23.00;26.00
23.00;25.80
23.00;25.90
23.00;25.90
23.10;25.90
22.90;26.00
23.00;26.00
23.00;26.10
23.00;25.80
23.00;26.00
22.90;25.90
23.00;25.90
23.00;26.00
22.90;25.90
23.00;25.90
23.00;25.90
23.00;26.00
23.00;26.00
23.10;26.00
23.00;26.00
23.00;26.10
22.90;25.90
23.00;26.00
23.00;25.90
22.90;26.00
23.00;25.80
23.00;26.00
22.90;26.10
22.90;26.00
22.90;26.00
22.90;25.90
22.90;26.00
22.90;26.20
22.90;26.20
22.90;26.20
22.80;26.40
22.90;26.50
22.90;26.60
22.90;26.70
22.90;26.80
22.90;26.80
22.90;26.90
22.90;26.70
22.90;26.70
22.90;26.70
22.90;26.60
22.90;26.70
22.80;26.50
23.00;26.60
22.90;26.40
22.90;26.50
22.90;26.50
22.90;26.60
22.90;26.50
22.80;26.40
22.80;26.40
22.90;26.40
22.80;26.40
22.90;26.30
22.80;26.60
22.80;26.50
22.80;26.50
22.80;26.40
22.80;26.50
22.80;26.60
22.80;26.70
22.80;26.80
22.80;26.50
22.80;26.70
22.90;26.50
22.90;26.50
22.90;26.40
22.90;26.40
22.80;26.50
22.80;26.40
22.80;26.40
22.80;26.30
22.70;26.40
22.80;26.30
22.80;26.50
22.80;26.40
22.80;26.30
22.80;26.20
22.80;26.20
22.80;26.20
22.80;26.30
22.80;26.20
22.80;26.40
22.80;26.40
22.70;26.40
22.70;26.30
22.80;26.30
22.80;26.40
22.80;26.40
22.80;26.20
22.80;26.20
22.70;26.10
22.80;26.10
22.80;26.00
22.70;26.20
22.80;26.20
